round_num,venue,date,year,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
5,Corio Oval,1898-06-04 15:00,1898,Geelong,1.0,2.0,2.0,5.0,2.0,8.0,4.0,10.0,Fitzroy,2.0,1.0,3.0,2.0,5.0,2.0,6.0,3.0
5,Junction Oval,1898-06-04 15:00,1898,St Kilda,0.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,South Melbourne,1.0,3.0,4.0,10.0,5.0,16.0,7.0,20.0
6,Brunswick St,1898-06-11 15:00,1898,Fitzroy,4.0,2.0,4.0,3.0,5.0,7.0,5.0,7.0,Carlton,0.0,1.0,3.0,5.0,3.0,5.0,4.0,9.0
6,Junction Oval,1898-06-11 15:00,1898,St Kilda,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,Collingwood,4.0,0.0,5.0,1.0,8.0,4.0,10.0,8.0
6,Corio Oval,1898-06-11 15:00,1898,Geelong,1.0,2.0,2.0,2.0,3.0,5.0,4.0,7.0,Essendon,2.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0
6,M.C.G.,1898-06-11 15:00,1898,Melbourne,1.0,0.0,1.0,2.0,1.0,5.0,1.0,7.0,South Melbourne,0.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0
7,Princes Park,1898-06-18 15:00,1898,Carlton,3.0,5.0,4.0,7.0,5.0,12.0,5.0,13.0,St Kilda,1.0,0.0,3.0,2.0,3.0,3.0,5.0,3.0
7,Victoria Park,1898-06-18 15:00,1898,Collingwood,2.0,2.0,4.0,5.0,5.0,8.0,5.0,10.0,Essendon,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0
7,Lake Oval,1898-06-18 15:00,1898,South Melbourne,4.0,3.0,5.0,4.0,6.0,9.0,7.0,9.0,Fitzroy,0.0,1.0,0.0,7.0,0.0,7.0,2.0,10.0
7,M.C.G.,1898-06-18 15:00,1898,Melbourne,1.0,1.0,5.0,1.0,9.0,4.0,9.0,5.0,Geelong,0.0,2.0,3.0,4.0,4.0,4.0,5.0,9.0
8,Lake Oval,1898-06-25 15:00,1898,South Melbourne,0.0,3.0,2.0,4.0,6.0,7.0,6.0,8.0,Carlton,0.0,0.0,0.0,3.0,0.0,3.0,1.0,6.0
8,Corio Oval,1898-06-25 15:00,1898,Geelong,3.0,1.0,3.0,2.0,6.0,4.0,6.0,5.0,Collingwood,0.0,1.0,0.0,4.0,1.0,5.0,2.0,10.0
8,Brunswick St,1898-06-25 15:00,1898,Fitzroy,0.0,0.0,1.0,2.0,1.0,3.0,2.0,4.0,Essendon,3.0,2.0,4.0,5.0,5.0,10.0,8.0,11.0
